Rapo2011hierarkia Taso 00 - Avain - Category Code,Rapo2011hierarkia Taso 00 - Avain - Pitkä nimi,Rapo2011hierarkia Taso 03 - Avain - Category Code,Rapo2011hierarkia Taso 03 - Avain - Pitkä nimi,Rapo2011hierarkia Taso 05 - Avain - Category Code,Rapo2011hierarkia Taso 05 - Avain - Pitkä nimi,Summataso3 - Category Code,Summataso3 - Pitkä nimi,Tilinumero Taso 0 - Avain - Pitkä nimi,Tilinumero Taso 0 - Avain - Category Code,Budjetti eur,Toteuma eur
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR600.11,Maa- ja vesialueet,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/464100 Valmiin käyttöomaisuuden aktivointi,TILI/464100,0,-6 784 923
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR600.11,Maa- ja vesialueet,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/880200 Maa-ja vesialueet,TILI/880200,0,6 784 923
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,Palvelujen ostot,Palvelujen ostot,"TILI/434000 Toimisto-, pankki- ja asiantuntijapalvelut",TILI/434000,0,21 123
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,Palvelujen ostot,Palvelujen ostot,"TILI/440000 Koneiden, kaluston ja laitteiden rakentamis- ja ku",TILI/440000,0,6 680
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,Palvelujen ostot,Palvelujen ostot,TILI/442000 Matkustus- ja kuljetuspalvelut,TILI/442000,0,556
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,Palvelujen ostot,Palvelujen ostot,TILI/448000 Aktivoidut palvelujen ostot,TILI/448000,0,-28 359
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/458000 Kalusto,TILI/458000,0,284 658
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/460000 Muu materiaali,TILI/460000,0,22 419
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat","TILI/464000 Käyttöomaisuuteen aktivoidut aineet, tarvikkeet ja",TILI/464000,0,-307 047
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/464100 Valmiin käyttöomaisuuden aktivointi,TILI/464100,0,-5 162 471
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat","TILI/464200 Aktivoidut sisäiset aineet, tarvikkeet ja tavarat",TILI/464200,0,-294
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/465000 Saadut käteisalennukset,TILI/465000,0,-29
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/880100 Muut aineettomat hyödykkeet,TILI/880100,0,565 411
Rapo2011hierarkia Taso 00 - Avain,Rapo2011hierarkia Taso 00 - Avain,1111PA600.11,Investointiosa kaupu,1111MR610.11,Irtain käyttöomaisuu,"Aineet, tarvikkeet ja tavarat","Aineet, tarvikkeet ja tavarat",TILI/880500 Kiinteät rakenteet ja laitteet,TILI/880500,0,32 771
